code;location;registered;envelopes;valid;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Národ Sobě;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
;Hluboké Dvory;70;46;46;16;0;0;0;0;6;1;0;0;3;0;0;0;0;0;0;10;0;0;0;5;0;5;0;0;0
;Holasice;859;558;558;151;0;0;1;0;31;28;1;2;56;6;2;1;0;3;1;19;3;13;10;95;23;57;46;1;1
;Horní Loučky;258;171;171;42;2;0;0;0;17;35;0;0;10;2;1;5;0;0;0;5;0;2;1;17;1;19;10;0;0
;Hostěnice;563;416;414;84;0;0;0;1;18;39;0;0;64;0;2;0;1;3;1;28;0;8;7;50;32;48;27;0;0
;Hradčany;518;347;347;99;0;0;0;0;25;13;0;0;49;2;1;0;0;1;0;18;0;5;5;57;17;30;23;0;0
;Hrušovany u Brna;2713;1661;1661;483;2;4;4;1;122;121;1;1;142;14;9;3;2;18;3;73;4;32;17;193;122;162;123;0;3
;Hvozdec;254;193;193;41;0;1;0;0;18;12;0;0;22;2;0;0;0;1;1;8;1;11;1;16;19;18;18;0;1
;Chudčice;724;497;497;144;1;0;0;2;38;55;0;0;58;1;3;0;0;2;1;23;0;7;5;51;24;52;28;0;0
;Ivaň;595;370;370;113;0;2;0;0;19;37;0;0;34;0;1;0;7;4;0;21;1;2;5;47;21;20;34;0;0
;Ivančice;7833;4673;4672;1425;1;5;1;4;562;272;0;7;432;20;29;3;6;10;8;106;5;67;43;601;334;382;318;1;7
